read_time,write_counts,period
1403413080000.0,5.0,2100000.0
1403415480000.0,4.0,2400000.0
1403416560000.0,4.0,1080000.0
1403417520000.0,5.0,960000.0
1403418120000.0,4.0,600000.0
1403419980000.0,3.0,1860000.0
1403421120000.0,7.0,1140000.0
1403423040000.0,8.0,1920000.0
1403424180000.0,7.0,1140000.0
1403424960000.0,9.0,780000.0
1403428500000.0,7.0,3540000.0
1403429580000.0,6.0,1080000.0
1403430780000.0,5.0,1200000.0
1403432040000.0,1.0,1260000.0
1403433600000.0,5.0,1560000.0
1403435520000.0,7.0,1920000.0
1403436180000.0,6.0,660000.0
1403437500000.0,5.0,1320000.0
1403439300000.0,4.0,1800000.0
1403440740000.0,5.0,1440000.0
1403441520000.0,3.0,780000.0
1403442420000.0,6.0,900000.0
